Région,Année,Production
Asie de l’Est et Pacifique,1960,200.6704
Asie de l’Est et Pacifique,1961,217.7085
Asie de l’Est et Pacifique,1962,234.4499
Asie de l’Est et Pacifique,1963,254.3683
Asie de l’Est et Pacifique,1964,258.1194
Asie de l’Est et Pacifique,1965,283.8058
Asie de l’Est et Pacifique,1966,280.542
Asie de l’Est et Pacifique,1967,291.6801
Asie de l’Est et Pacifique,1968,289.7417
Asie de l’Est et Pacifique,1969,315.6559
Asie de l’Est et Pacifique,1970,326.7194
Asie de l’Est et Pacifique,1971,312.0483
Asie de l’Est et Pacifique,1972,343.5369
Asie de l’Est et Pacifique,1973,355.4728
Asie de l’Est et Pacifique,1974,371.9922
Asie de l’Est et Pacifique,1975,378.8274
Asie de l’Est et Pacifique,1976,368.7804
Asie de l’Est et Pacifique,1977,417.3563
Asie de l’Est et Pacifique,1978,435.02
Asie de l’Est et Pacifique,1979,419.2155
Asie de l’Est et Pacifique,1980,442.2405
Asie de l’Est et Pacifique,1981,462.3271
Asie de l’Est et Pacifique,1982,516.7193
Asie de l’Est et Pacifique,1983,541.9574
Asie de l’Est et Pacifique,1984,515.813
Asie de l’Est et Pacifique,1985,528.1519
Asie de l’Est et Pacifique,1986,524.2943
Asie de l’Est et Pacifique,1987,529.3998
Asie de l’Est et Pacifique,1988,551.5796
Asie de l’Est et Pacifique,1989,588.2088
Asie de l’Est et Pacifique,1990,582.2026
Asie de l’Est et Pacifique,1991,593.5862
Asie de l’Est et Pacifique,1992,597.8936
Asie de l’Est et Pacifique,1993,598.8387
Asie de l’Est et Pacifique,1994,611.0694
Asie de l’Est et Pacifique,1995,662.4957
Asie de l’Est et Pacifique,1996,662.4219
Asie de l’Est et Pacifique,1997,669.4696
Asie de l’Est et Pacifique,1998,681.1592
Asie de l’Est et Pacifique,1999,641.4391
Asie de l’Est et Pacifique,2000,635.3696
Asie de l’Est et Pacifique,2001,641.9673
Asie de l’Est et Pacifique,2002,604.4281
Asie de l’Est et Pacifique,2003,673.8406
Asie de l’Est et Pacifique,2004,690.5213
Asie de l’Est et Pacifique,2005,723.2376
Asie de l’Est et Pacifique,2006,713.2615
Asie de l’Est et Pacifique,2007,758.9249
Asie de l’Est et Pacifique,2008,773.4647
Asie de l’Est et Pacifique,2009,791.9795
Asie de l’Est et Pacifique,2010,824.4622
Asie de l’Est et Pacifique,2011,854.6344
Asie de l’Est et Pacifique,2012,859.9722
Asie de l’Est et Pacifique,2013,866.2358
Asie de l’Est et Pacifique,2014,918.0339
Asie de l’Est et Pacifique,2015,911.2114
Asie de l’Est et Pacifique,2016,935.1992
Asie de l’Est et Pacifique,2017,921.7285
Asie de l’Est et Pacifique,2018,899.5943
Asie de l’Est et Pacifique,2019,899.0131
Asie de l’Est et Pacifique,2020,945.2051
Asie de l’Est et Pacifique,2021,954.138
Europe et Asie centrale,1960,141.1254
Europe et Asie centrale,1961,154.3376
Europe et Asie centrale,1962,156.237
Europe et Asie centrale,1963,159.9017
Europe et Asie centrale,1964,167.3199
Europe et Asie centrale,1965,168.1308
Europe et Asie centrale,1966,185.5658
Europe et Asie centrale,1967,187.2887
Europe et Asie centrale,1968,190.4122
Europe et Asie centrale,1969,179.2403
Europe et Asie centrale,1970,212.8553
Europe et Asie centrale,1971,216.1701
Europe et Asie centrale,1972,213.6149
Europe et Asie centrale,1973,223.9391
Europe et Asie centrale,1974,216.5982
Europe et Asie centrale,1975,217.7966
Europe et Asie centrale,1976,226.6685
Europe et Asie centrale,1977,247.9997
Europe et Asie centrale,1978,238.6455
Europe et Asie centrale,1979,254.1638
Europe et Asie centrale,1980,242.7547
Europe et Asie centrale,1981,265.2753
Europe et Asie centrale,1982,251.473
Europe et Asie centrale,1983,299.0464
Europe et Asie centrale,1984,279.9966
Europe et Asie centrale,1985,280.0214
Europe et Asie centrale,1986,275.7624
Europe et Asie centrale,1987,287.6172
Europe et Asie centrale,1988,285.6466
Europe et Asie centrale,1989,286.1803
Europe et Asie centrale,1990,301.3261
Europe et Asie centrale,1991,453.5349
Europe et Asie centrale,1992,463.467
Europe et Asie centrale,1993,422.9734
Europe et Asie centrale,1994,409.548
Europe et Asie centrale,1995,428.8454
Europe et Asie centrale,1996,479.1945
Europe et Asie centrale,1997,423.5631
Europe et Asie centrale,1998,418.3263
Europe et Asie centrale,1999,432.9616
Europe et Asie centrale,2000,478.5521
Europe et Asie centrale,2001,488.5043
Europe et Asie centrale,2002,418.0197
Europe et Asie centrale,2003,520.9896
Europe et Asie centrale,2004,483.4335
Europe et Asie centrale,2005,470.2163
Europe et Asie centrale,2006,456.2918
Europe et Asie centrale,2007,563.514
Europe et Asie centrale,2008,537.2341
Europe et Asie centrale,2009,464.8061
Europe et Asie centrale,2010,542.8375
Europe et Asie centrale,2011,480.9769
Europe et Asie centrale,2012,557.8102
Europe et Asie centrale,2013,592.7541
Europe et Asie centrale,2014,577.9201
Europe et Asie centrale,2015,584.334
Europe et Asie centrale,2016,597.5551
Europe et Asie centrale,2017,567.3487
Europe et Asie centrale,2018,611.1106
Europe et Asie centrale,2019,598.9158
Europe et Asie centrale,2020,613.0328
Europe et Asie centrale,2021,599.6489
Amérique Latine et Caraïbes,1960,47.3971
Amérique Latine et Caraïbes,1961,48.3037
Amérique Latine et Caraïbes,1962,53.1299
Amérique Latine et Caraïbes,1963,59.752
Amérique Latine et Caraïbes,1964,57.6384
Amérique Latine et Caraïbes,1965,59.3628
Amérique Latine et Caraïbes,1966,64.1918
Amérique Latine et Caraïbes,1967,62.2661
Amérique Latine et Caraïbes,1968,64.6758
Amérique Latine et Caraïbes,1969,71.3638
Amérique Latine et Caraïbes,1970,72.458
Amérique Latine et Caraïbes,1971,67.9562
Amérique Latine et Caraïbes,1972,74.8887
Amérique Latine et Caraïbes,1973,78.4372
Amérique Latine et Caraïbes,1974,80.5516
Amérique Latine et Caraïbes,1975,86.7593
Amérique Latine et Caraïbes,1976,86.5454
Amérique Latine et Caraïbes,1977,85.838
Amérique Latine et Caraïbes,1978,84.0038
Amérique Latine et Caraïbes,1979,88.443
Amérique Latine et Caraïbes,1980,103.513
Amérique Latine et Caraïbes,1981,105.2558
Amérique Latine et Caraïbes,1982,99.5842
Amérique Latine et Caraïbes,1983,106.3199
Amérique Latine et Caraïbes,1984,109.9982
Amérique Latine et Caraïbes,1985,105.4659
Amérique Latine et Caraïbes,1986,111.7333
Amérique Latine et Caraïbes,1987,107.9908
Amérique Latine et Caraïbes,1988,105.7431
Amérique Latine et Caraïbes,1989,98.0818
Amérique Latine et Caraïbes,1990,103.5372
Amérique Latine et Caraïbes,1991,117.9593
Amérique Latine et Caraïbes,1992,115.6325
Amérique Latine et Caraïbes,1993,118.6263
Amérique Latine et Caraïbes,1994,125.7952
Amérique Latine et Caraïbes,1995,119.7094
Amérique Latine et Caraïbes,1996,133.9897
Amérique Latine et Caraïbes,1997,133.1558
Amérique Latine et Caraïbes,1998,130.9518
Amérique Latine et Caraïbes,1999,137.706
Amérique Latine et Caraïbes,2000,151.5257
Amérique Latine et Caraïbes,2001,141.7696
Amérique Latine et Caraïbes,2002,160.7484
Amérique Latine et Caraïbes,2003,160.9028
Amérique Latine et Caraïbes,2004,157.4791
Amérique Latine et Caraïbes,2005,155.1906
Amérique Latine et Caraïbes,2006,178.3103
Amérique Latine et Caraïbes,2007,195.6303
Amérique Latine et Caraïbes,2008,164.2627
Amérique Latine et Caraïbes,2009,187.0121
Amérique Latine et Caraïbes,2010,194.4109
Amérique Latine et Caraïbes,2011,209.5366
Amérique Latine et Caraïbes,2012,225.329
Amérique Latine et Caraïbes,2013,227.681
Amérique Latine et Caraïbes,2014,237.178
Amérique Latine et Caraïbes,2015,223.8434
Amérique Latine et Caraïbes,2016,271.3395
Amérique Latine et Caraïbes,2017,249.0829
Amérique Latine et Caraïbes,2018,280.8772
Amérique Latine et Caraïbes,2019,288.6073
Amérique Latine et Caraïbes,2020,277.7169
Amérique Latine et Caraïbes,2021,303.9547
Afrique du Nord et Moyen-Orient,1960,17.2273
Afrique du Nord et Moyen-Orient,1961,23.9776
Afrique du Nord et Moyen-Orient,1962,23.2177
Afrique du Nord et Moyen-Orient,1963,22.2303
Afrique du Nord et Moyen-Orient,1964,24.2679
Afrique du Nord et Moyen-Orient,1965,21.3558
Afrique du Nord et Moyen-Orient,1966,24.2928
Afrique du Nord et Moyen-Orient,1967,29.2938
Afrique du Nord et Moyen-Orient,1968,26.1362
Afrique du Nord et Moyen-Orient,1969,25.5738
Afrique du Nord et Moyen-Orient,1970,25.6862
Afrique du Nord et Moyen-Orient,1971,31.3047
Afrique du Nord et Moyen-Orient,1972,24.6015
Afrique du Nord et Moyen-Orient,1973,28.401
Afrique du Nord et Moyen-Orient,1974,30.0509
Afrique du Nord et Moyen-Orient,1975,33.559
Afrique du Nord et Moyen-Orient,1976,25.3545
Afrique du Nord et Moyen-Orient,1977,29.9129
Afrique du Nord et Moyen-Orient,1978,28.4015
Afrique du Nord et Moyen-Orient,1979,32.4532
Afrique du Nord et Moyen-Orient,1980,30.1881
Afrique du Nord et Moyen-Orient,1981,32.7859
Afrique du Nord et Moyen-Orient,1982,30.7345
Afrique du Nord et Moyen-Orient,1983,29.8004
Afrique du Nord et Moyen-Orient,1984,38.3361
Afrique du Nord et Moyen-Orient,1985,40.9488
Afrique du Nord et Moyen-Orient,1986,38.5279
Afrique du Nord et Moyen-Orient,1987,44.2679
Afrique du Nord et Moyen-Orient,1988,40.5245
Afrique du Nord et Moyen-Orient,1989,48.624
Afrique du Nord et Moyen-Orient,1990,55.1189
Afrique du Nord et Moyen-Orient,1991,52.8178
Afrique du Nord et Moyen-Orient,1992,53.1605
Afrique du Nord et Moyen-Orient,1993,57.4575
Afrique du Nord et Moyen-Orient,1994,50.7374
Afrique du Nord et Moyen-Orient,1995,62.8283
Afrique du Nord et Moyen-Orient,1996,50.089
Afrique du Nord et Moyen-Orient,1997,59.7814
Afrique du Nord et Moyen-Orient,1998,49.8732
Afrique du Nord et Moyen-Orient,1999,44.9911
Afrique du Nord et Moyen-Orient,2000,53.1854
Afrique du Nord et Moyen-Orient,2001,62.2052
Afrique du Nord et Moyen-Orient,2002,70.181
Afrique du Nord et Moyen-Orient,2003,70.7098
Afrique du Nord et Moyen-Orient,2004,68.1117
Afrique du Nord et Moyen-Orient,2005,74.6479
Afrique du Nord et Moyen-Orient,2006,67.3794
Afrique du Nord et Moyen-Orient,2007,52.8272
Afrique du Nord et Moyen-Orient,2008,69.4212
Afrique du Nord et Moyen-Orient,2009,63.8299
Afrique du Nord et Moyen-Orient,2010,64.5531
Afrique du Nord et Moyen-Orient,2011,64.7287
Afrique du Nord et Moyen-Orient,2012,70.1842
Afrique du Nord et Moyen-Orient,2013,66.7156
Afrique du Nord et Moyen-Orient,2014,69.0981
Afrique du Nord et Moyen-Orient,2015,63.6279
Afrique du Nord et Moyen-Orient,2016,65.2333
Afrique du Nord et Moyen-Orient,2017,61.026
Afrique du Nord et Moyen-Orient,2018,73.1306
Afrique du Nord et Moyen-Orient,2019,64.657
Afrique du Nord et Moyen-Orient,2020,63.3467
Afrique du Nord et Moyen-Orient,2021,56.8306
Asie du Sud,1960,116.5423
Asie du Sud,1961,115.6437
Asie du Sud,1962,121.3649
Asie du Sud,1963,125.3335
Asie du Sud,1964,111.4438
Asie du Sud,1965,109.6234
Asie du Sud,1966,128.795
Asie du Sud,1967,139.1096
Asie du Sud,1968,145.0385
Asie du Sud,1969,151.7504
Asie du Sud,1970,147.9836
Asie du Sud,1971,144.381
Asie du Sud,1972,159.8687
Asie du Sud,1973,146.3102
Asie du Sud,1974,169.9454
